ID	Statement	Label (0 is False)	Source	Region	Date 	Link	Comments	Original text
1	China has 56 ethnic groups. Besides the Han, who make up over 90 percent of China's population, there are 55 ethnic groups in the country, each with their own costumes, festivals and customs.	1	China Daily	ASIA-PACIFIC	30 August 2021	https://www.chinadaily.com.cn/a/202108/30/WS612c12b2a310efa1bd66bdf2_2.html		
2	Weightlifter Shi Zhiyong of China won gold in men's 73kg category in Tokyo 2021.	1	China Daily	ASIA-PACIFIC	28 July 2021	http://www.chinadaily.com.cn/a/202107/28/WS61014f46a310efa1bd66513d_6.html		
3	"On the evening of June 22, 2021, Shanghai held a light show with the theme of ""Always Follow the Party"" in the Bund and Lujiazui areas along the Huangpu River. Nearly 300 buildings were lit up."	1	China Daily	ASIA-PACIFIC	25 June 2021	https://www.chinadaily.com.cn/a/202106/25/WS60d5955ba310efa1bd65e018.html		
4	China's health minister Ma Xiaowei said during a phone call with his US counterpart in May 2021 that China is willing to deepen cooperation with the United States in the field of healthcare and in fighting against the COVID-19 pandemic.	1	China Daily	ASIA-PACIFIC	20 May 2021	https://www.chinadaily.com.cn/a/202105/20/WS60a666c7a31024ad0bac05ee.html		
5	A sandstorm hit Hohhot, Inner Mongolia on April 15, 2021.	1	China Daily	ASIA-PACIFIC	15 April 2021	https://www.chinadaily.com.cn/a/202104/15/WS60780160a31024ad0bab5d08.html		
6	Xi attended closing meeting of CPPCC National Committee's annual session at the Great Hall of the People in Beijing, March 10, 2021.	1	China Daily	ASIA-PACIFIC	10 March 2021	https://www.chinadaily.com.cn/a/202103/10/WS60488ceca31024ad0baae46d_2.html		
7	Gao Feng, a spokesman for the Ministry of Commerce, said at a regular news briefing in 2021 that China is researching matters related to it joining the CPTPP.	1	China Daily	ASIA-PACIFIC	5 February 2021	https://www.chinadaily.com.cn/a/202102/05/WS601c819aa31024ad0baa7595.html		
8	"Chinese feature film ""A Little Red Flower""  secured the top place of the box office chart right after its debut on Dec. 31, generating a total of 657 million yuan in three days"	1	China Daily	ASIA-PACIFIC	3 January 2021	https://www.chinadaily.com.cn/a/202101/03/WS5ff158e3a31024ad0baa0187.html		
9	Since bringing its coronavirus outbreak under control, China has been sending medical supplies and equipment to other parts of the world to help fight COVID-19.	1	China Daily	ASIA-PACIFIC	29 December 2020	https://www.chinadaily.com.cn/a/202012/29/WS5fea8525a31024ad0ba9f265_2.html		
10	President Xi Jinping said in a congratulatory letter to the World Internet Conference - Internet Development Forum that China is ready to work with other countries to create a new paradigm for cybersecurity as well as a community with a shared future in cyberspace.	1	China Daily	ASIA-PACIFIC	24 November 2020	https://www.chinadaily.com.cn/a/202011/24/WS5fbc45bda31024ad0ba95f03.html		
11	In an interview with Nikkei Asia, published in April, founder and Chairman Lim Wee Chai reflected on the demands on the company and its workers as it fought its own problems with lockdowns and working through the pandemic.	1	Nikkei Asia	ASIA-PACIFIC	25 December 2020	https://asia.nikkei.com/Business/Business-Spotlight/The-numbers-of-2020-from-grounded-flights-to-soaring-stocks		
12	Ankith Gupta has gotten his name entered in the India Book of Records and Asia Book of Records for Song Composed By An Individual In Maximum Languages.	1	The Times of India	ASIA-PACIFIC	19 September 2020	https://timesofindia.indiatimes.com/entertainment/tamil/music/chennai-lad-ankith-gupta-sets-record-for-creating-a-song-in-14-languages/articleshow/78190929.cms		
13	A 27-year-old man was bludgeoned to death in Virada Vajadi village on Kalawad Road on the outskirts of Rajkot on Thursday night.	1	The Times of India	ASIA-PACIFIC	19 September 2020	https://timesofindia.indiatimes.com/city/rajkot/man-bludgeoned-to-death-in-rajkot/articleshow/78193954.cms		
14	Andhra Pradesh chief minister YS Jaganmohan Reddy launched the YSR Cheyutha scheme to empower socio-economically deprived women, by ushering them into entrepreneurship and helping them build strong, rewarding businesses.	1	The Times of India	ASIA-PACIFIC	12 August 2020	https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-cm-jaganmohan-reddy-launches-ysr-cheyutha-scheme/articleshow/77491438.cms		
15	Kabila and Malini attended the launch of Deepti Reddy’s co-working space ‘F215’ in Anna Nagar.	1	The Times of India	ASIA-PACIFIC	6 August 2019	https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-cm-jaganmohan-reddy-launches-ysr-cheyutha-scheme/articleshow/77491438.cms		
16	According to a white paper released on July 25 2019 on China's efforts in protecting the rights and interests of persons with disabilities over the past 70 years, 1,702 cities and counties nationwide had initiated efforts to improve accessibility and remove barriers by 2018.	1	Xinhua	ASIA-PACIFIC	1 August 2019	http://www.xinhuanet.com/english/2019-08/01/c_138276354.htm		
17	China started piloting national smart city development in 2012 to encourage use of the latest technology, such as artificial intelligence and Internet of Things, to help the flow of traffic, improve law enforcement and make public buildings more energy efficient.	1	Xinhua	ASIA-PACIFIC	20 February 2018	http://www.xinhuanet.com/english/2018-02/20/c_136987058.htm		
18	Bigg Boss Kannada winner and filmmaker-actor Pratham went online on a live video talking to his followers after consuming pills.	1	The Times of India	ASIA-PACIFIC	6 April 2017	https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/bigg-boss-winner-pratham-attempts-suicide-on-live-video-survives/articleshow/58027624.cms		
19	"Chinese President Xi Jinping published a signed article in the Finnish newspaper Helsinki Times on Monday under the title ""Our Enduring Friendship"" ahead of his state visit to Finland on April 4-6."	1	China Daily	ASIA-PACIFIC	03 April 2017	https://www.chinadaily.com.cn/world/2017xivisitsfinlandandus/2017-04/03/content_28785603.htm		
20	Karakoram Highway stretches over 1,200 kilometers through the Karakoram Mountain, connecting Pakistan and Kashgar in Xinjiang. It's also known as China-Pakistan Friendship Highway.	1	China Daily	ASIA-PACIFIC	3 August 2017	https://www.chinadaily.com.cn/china/2017-08/03/content_30338991.htm		
