ID	Statement	Label (0 is False)	Source	Region	Date	Link	Comment	Original text
1	High Court of Australia ruled Indigenous rights referendum 'unconstitutional'.	0	AFP FactCheck	ASIA-PACIFIC	20 September 2023	https://factcheck.afp.com/doc.afp.com.33VA6JR		
2	"Thailand becoming a creditor to the International Monetary Fund (IMF) was an ""achievement"" of former prime minister Prayut Chan-o-cha."	0	AFP FactCheck	ASIA-PACIFIC	20 September 2023	https://factcheck.afp.com/doc.afp.com.33V8368		
3	A state-level scheme already in place in South Australia allows local Voice organisations to forcibly seize private propert.	0	AFP FactCheck	ASIA-PACIFIC	17 September 2023	https://factcheck.afp.com/doc.afp.com.33UX8UY		
4	The Philippines fired at Chinese ships entering Scarborough Shoal.	0	AFP FactCheck	ASIA-PACIFIC	13 September 2023	https://factcheck.afp.com/doc.afp.com.33TW7ZM		
5	Australian referendum will enter voters into 'contracts' with govt.	0	AFP FactCheck	ASIA-PACIFIC	12 September 2023	https://factcheck.afp.com/doc.afp.com.33UL9HL		
6	Consuming Cissus discolor -- a plant used for traditional medicine in Southeast Asia -- can eradicate cancers including those in their final stages.	0	AFP FactCheck	ASIA-PACIFIC	5 September 2023	https://factcheck.afp.com/doc.afp.com.33QQ2H7		
7	"Popular Filipino doctors Winston Kilimanjaro Creones Tiwaquen and Willie Ong -- who regularly dispense medical advice online -- both endorsed a product to ""cure burst eardrums"". "	0	AFP FactCheck	ASIA-PACIFIC	31 August 2023	https://factcheck.afp.com/doc.afp.com.33TJ6JX		
8	"Thailand's southern Krasae Sin district has been converted into the kingdom's ""newest province""."	0	AFP FactCheck	ASIA-PACIFIC	29 August 2023	https://factcheck.afp.com/doc.afp.com.33TH78W		
9	New mobile phone networks have led to a drop in bird populations.	0	AFP FactCheck	ASIA-PACIFIC	24 August 2023	https://factcheck.afp.com/doc.afp.com.33RU3AK		
10	A Thai TikTok user was banned from entering Japan for 20 years for filming themselves dancing on a train.	0	AFP FactCheck	ASIA-PACIFIC	24 August 2023	https://factcheck.afp.com/doc.afp.com.33RQ6ZG		
11	President Ferdinand Marcos is the first Philippine leader to award cash incentives to athletes who have excelled in international competitions.	0	AFP FactCheck	ASIA-PACIFIC	23 August 2023	https://factcheck.afp.com/doc.afp.com.33R77QG		
12	"Using mobile phones during thunderstorms could ""attract lightning""."	0	AFP FactCheck	ASIA-PACIFIC	21 August 2023	https://factcheck.afp.com/doc.afp.com.33R88AL		
13	The Election Commission of Pakistan (ECP) removed former prime minister Imran Khan's Pakistan Tehreek-e-Insaf (PTI) from a list of political parties that will take part in the country's next election.	0	AFP FactCheck	ASIA-PACIFIC	20 August 2023	https://factcheck.afp.com/doc.afp.com.33R72VU		
14	"South Korean President Yoon Suk Yeol ranked third on the 2022 list of the ""World's 50 Greatest Leaders"" by the US-based Fortune Magazine."	0	AFP FactCheck	ASIA-PACIFIC	14 August 2023	https://factcheck.afp.com/doc.afp.com.33QW9CQ		
15	Rubbing limes on painful teeth can relieve toothaches quickly. 	0	AFP FactCheck	ASIA-PACIFIC	9 August 2023	https://factcheck.afp.com/doc.afp.com.33QG6RP		
16	Sangeeta Phogat -- an Indian professional wrestler who took part in protests demanding the arrest of the head of the country's top wrestling body -- was eliminated in a tournament at the Budapest Ranking Series in Hungary after she lost 0-10. 	0	AFP FactCheck	ASIA-PACIFIC	8 August 2023	https://factcheck.afp.com/doc.afp.com.33PW8QU		
17	Malaysians above the age of 65 need to undergo an eye check in order to renew their driving licence from 2024. 	0	AFP FactCheck	ASIA-PACIFIC	3 August 2023	https://factcheck.afp.com/doc.afp.com.33QD8HM		
18	Philippine has lowered the state pension age to 40 years old. 	0	AFP FactCheck	ASIA-PACIFIC	31 July 2023	https://factcheck.afp.com/doc.afp.com.33PU924		
19	Aboriginal Australians were included in the national census as far back as 1933.	0	AFP FactCheck	ASIA-PACIFIC	27 July 2023	https://factcheck.afp.com/doc.afp.com.33NW287		
20	Consuming coral tree leaves can cure cancer.	0	AFP FactCheck	ASIA-PACIFIC	27 July 2023	https://factcheck.afp.com/doc.afp.com.33MM4CQ		
21	The disease mpox, formerly known as monkeypox, is a complication of vaccines.	0	AFP FactCheck	ASIA-PACIFIC	19 July 2023	https://factcheck.afp.com/doc.afp.com.33MU6YM		
22	Any activity on plots of land in Western Australia over 1,100 square metres first needs approval from a local Aboriginal council.	0	AFP FactCheck	ASIA-PACIFIC	16 July 2023	https://factcheck.afp.com/doc.afp.com.33NK6Z9	A misleading claim	
23	Wine extracted from the tropical fruit soursop has been medically approved to treat cancer.	0	AFP FactCheck	ASIA-PACIFIC	13 July 2023	https://factcheck.afp.com/doc.afp.com.33MC37A		
24	People with different blood types should lose weight with different diets.	0	AFP FactCheck	ASIA-PACIFIC	7 July 2023	https://factcheck.afp.com/doc.afp.com.33LG78C		
25	Chewing on the root of an elephant apple tree can cure rabies.	0	AFP FactCheck	ASIA-PACIFIC	3 July 2023	https://factcheck.afp.com/doc.afp.com.33KY4Y4		
26	The Commercial Bank of Ethiopia (CBE) is giving away various prizes on the occasion of the Ethiopian New Year, and users can submit their telephone numbers to receive the items.	0	AFP FactCheck	AFRICA	13 September 2023	https://factcheck.afp.com/doc.afp.com.33V68KW		
27	US President Joe Biden and the chairwoman of the World Trade Organisation (WTO), Ngozi Okonjo-Iweala, did not take photos with Nigerian leader Bola Tinubu at the G20 Summit held in India in September 2023.	0	AFP FactCheck	AFRICA	12 September 2023	https://factcheck.afp.com/doc.afp.com.33UZ942		
28	The BRICS organization now manages 80 percent of the global oil supply. 	0	AFP FactCheck	AFRICA	8 September 2023	https://factcheck.afp.com/doc.afp.com.33UH6BL		
29	Nigerian President Bola Tinubu attended the 2023 G20 summit hosted in India without being invited.	0	AFP FactCheck	AFRICA	8 September 2023	https://factcheck.afp.com/doc.afp.com.33UL378		
30	The Canadian government has issued a statement offering free travel and work opportunities to 40,000 Ethiopians and Eritreans. 	0	AFP FactCheck	AFRICA	5 September 2023	https://factcheck.afp.com/doc.afp.com.33UD3XD		
31	Days after the African Union and the Economic Community of West Africa States (ECOWAS) ramped up pressure on Niger’s coup leaders, a Nigerian military helicopter crashed in Niger. 	0	AFP FactCheck	AFRICA	29 August 2023	https://factcheck.afp.com/doc.afp.com.33TW6ZH		
32	Kenya’s President William Ruto vowed to make citizens’ lives more “difficult” as the country grapples with the rising cost of living. 	0	AFP FactCheck	AFRICA	28 August 2023	https://factcheck.afp.com/doc.afp.com.33TV9J6	the claim is misleading	
33	Sugar-free diets can “starve” cancer cells while cutting out acidic foods also helps to fight the disease.	0	AFP FactCheck	AFRICA	21 August 2023	https://factcheck.afp.com/doc.afp.com.33RH3BB		
34	After the ultimatum given to Nigerien putschists by the Economic Community of West African States (ECOWAS) to restore toppled president Mohamed Bazoum expired on August 6, 2023, Nigeria’s leader Bola Tinubu – who is also the regional bloc’s chairman – sought the approval of his country’s Senate to declare war on Niger but was denied. 	0	AFP FactCheck	AFRICA	9 August 2023	https://factcheck.afp.com/doc.afp.com.33QU44U		
35	As the coup in Niger continued, the northern neighbour Algeria claimed that it is willing to back the putschists if the Economic Community of West African States (ECOWAS) deploys forces to reinstate deposed president Mohamed Bazoum. 	0	AFP FactCheck	AFRICA	7 August 2023	https://factcheck.afp.com/doc.afp.com.33QM4EK		
36	Nigeria's electoral court had declared the Labour Party’s Peter Obi the winner of the February 25 presidential election.	0	AFP FactCheck	AFRICA	24 July 2023	https://factcheck.afp.com/doc.afp.com.33PK88X		
37	Democratic Alliance (DA) leader John Steenhuisen said the party was in an “advanced stage” of negotiations with the ruling African National Congress (ANC) to form a coalition government. 	0	AFP FactCheck	AFRICA	14 July 2023	https://factcheck.afp.com/doc.afp.com.33NX4VD		
38	Tthe governor of Osun state, Ademola Adeleke, had appointed his daughter Adenike Adeleke to the state cabinet.	0	AFP FactCheck	AFRICA	12 July 2023	https://factcheck.afp.com/doc.afp.com.33NK7RN	misleading: Adeleke did not appoint his daughter but rather the wife of his deceased brother; the two women share the same name.	
39	President Emmanuel Macron apologised to France’s former African colonies and pledged reparations during a UN speech in New York in April 2023.	0	AFP FactCheck	AFRICA	10 July 2023	https://factcheck.afp.com/doc.afp.com.33NE7UZ		
40	Nigerian has a huge housing deficit, lacking 70 million homes.	0	AFP FactCheck	AFRICA	7 July 2023	https://factcheck.afp.com/doc.afp.com.33MU7R8		
41	A Kenyan truck carrying a shipping container veered out of control on June 30, 2023, hitting other vehicles and people thronging a busy roadside market. More than 80 people had died.	0	AFP FactCheck	AFRICA	5 July 2023	https://factcheck.afp.com/doc.afp.com.33MM39N		
42	Namibia has abolished visa requirements for all countries in Africa.	0	AFP FactCheck	AFRICA	21 June 2023	https://factcheck.afp.com/doc.afp.com.33KE8VY		
43	Days after Ugandan President Yoweri Museveni announced that he had tested positive for Covid-19 on June 7, 2023, his health had quickly deteriorated and that he was admitted to hospital where he died from coronavirus complications. 	0	AFP FactCheck	AFRICA	20 June 2023	https://factcheck.afp.com/doc.afp.com.33JZ8MR		
44	Nigeria designated May 27 as Children’s Day to replace the anniversary of independence declared by the secessionist Biafra movement in the country’s southeast region.	0	AFP FactCheck	AFRICA	8 June 2023	https://factcheck.afp.com/doc.afp.com.33HM6P7		
45	The United Kingdom announced restrictions preventing student visa holders from bringing family members into the country, which also includes that all Nigerian students are now banned.	0	AFP FactCheck	AFRICA	26 May 2023	https://factcheck.afp.com/doc.afp.com.33GA23Y		
46	South African Broadcasting Corporation’s (SABC) plans to introduce a licence fee for motorists with radios installed in their vehicles.	0	AFP FactCheck	AFRICA	19 May 2023	https://factcheck.afp.com/doc.afp.com.33FJ8G2		
47	A lawyer representing Labour Party leader Peter Obi in his poll result challenge also works for detained separatist leader Nnamdi Kanu.	0	AFP FactCheck	AFRICA	16 May 2023	https://factcheck.afp.com/doc.afp.com.33F96MZ		
48	Bola Tinubu appointed the country’s first female state chief justice. 	0	AFP FactCheck	AFRICA	9 May 2023	https://factcheck.afp.com/doc.afp.com.33EP7JH		
49	Adeyeye Ogunwusi, a prominent traditional ruler in the country's southwest, said president-elect Bola Tinubu did not win the February 2023 election. 	0	AFP FactCheck	AFRICA	4 May 2023	https://factcheck.afp.com/doc.afp.com.33EE2V7		
50	In April 2023, a three-month state of emergency had been declared in Ethiopia’s northern Amhara region.	0	AFP FactCheck	AFRICA	3 May 2023	https://factcheck.afp.com/doc.afp.com.33EA7C4		
51	Malaysian Prime Minister Anwar Ibrahim's official visit to Saudi Arabia in March 2023 was not accorded proper media coverage, with only two news outlets reporting on it. 	0	AFP FactCheck	MIDDLE EAST	20 April 2023	https://factcheck.afp.com/doc.afp.com.33CT6ME		
52	The world football's governing body FIFA has banned Israel from playing in the U20 World Cup in 2023. 	0	AFP FactCheck	MIDDLE EAST	17 April 2023	https://factcheck.afp.com/doc.afp.com.33D44F8		
53	Wadi al-Salam cemetery in Najaf Iraq covers more than 600,000 hectares.	0	AFP FactCheck	MIDDLE EAST	27 February 2023	https://factcheck.afp.com/doc.afp.com.339P4JU		
54	Cristiano Ronaldo says he loves Islam while giving an interview in Dubai.	0	AFP FactCheck	MIDDLE EAST	26 February 2023	https://factcheck.afp.com/doc.afp.com.339X2UV		
55	A disk-shaped cloud filmed over Bursa in Turkey on January 19, 2023. The cloud was caused by a former American military project called High-frequency Active Auroral Research Program (HAARP).	0	AFP FactCheck	MIDDLE EAST	17 February 2023	https://factcheck.afp.com/doc.afp.com.339G3TF		
56	"Dubai's ruler Sheikh Mohammed bin Rashid Al Maktoum renamed a district ""Hind City"" to honour India and Hindus."	0	AFP FactCheck	MIDDLE EAST	10 February 2023	https://factcheck.afp.com/doc.afp.com.338U83F		
57	Saudi football club Al-Nassr fired one of their players, Jaloliddin Masharipov of Uzbekistan for refusing to give his jersey number to the team’s latest recruit, Portuguese star Cristiano Ronaldo.	0	AFP FactCheck	MIDDLE EAST	6 January 2023	https://factcheck.afp.com/doc.afp.com.336J96K		
58	"Saudi Arabia has deployed fighter planes and troops to Indonesia to help the Southeast Asian country ""invade Australia"" due to the territorial conflict over Ashmore Reef. "	0	AFP FactCheck	MIDDLE EAST	17 December 2022	https://factcheck.afp.com/doc.afp.com.333A3FX		
59	Ghanaian national football team competing at the 2022 World Cup tournament in Qatar forgot their kit at home.	0	AFP FactCheck	MIDDLE EAST	5 December 2022	https://factcheck.afp.com/doc.afp.com.32XK6VH		
60	Saudi Arabian football player Yasser Al-Shahrani died in hospital after a severe head injury sustained during a match against Argentina at the 2022 World Cup in Qatar. 	0	AFP FactCheck	MIDDLE EAST	1 December 2022	https://factcheck.afp.com/doc.afp.com.32WF484		
61	A Lufthansa plane carrying the German football team to Qatar for the 2022 World Cup tournament was banned from landing because of its “gay logo”.	0	AFP FactCheck	MIDDLE EAST	29 November 2022	https://factcheck.afp.com/doc.afp.com.32VB777		
62	Seven countries, including China, India and Russia, announced they would leave the World Health Organization.	0	AFP FactCheck	MIDDLE EAST	20 June 2022	https://factcheck.afp.com/doc.afp.com.32CJ3LK		
63	Saudi Arabia had permanently banned cinemas from operating in the kingdom, reversing a 2017 decision to allow them to operate.	0	AFP FactCheck	MIDDLE EAST	16 February 2022	https://factcheck.afp.com/doc.afp.com.9YE84U		
64	Saudi Arabia plans to remove an Islamic oath from the country's flag. 	0	AFP FactCheck	MIDDLE EAST	15 February 2022	https://factcheck.afp.com/doc.afp.com.9YR4EL		
65	Saudi Arabia's Crown Prince Mohammed bin Salman cancelled a meeting with South Korean President Moon Jae-in during a visit to the Middle East in January 2022. 	0	AFP FactCheck	MIDDLE EAST	31 January 2022	https://factcheck.afp.com/doc.afp.com.9X84AH		
66	Leading rabbinical authorities of Israel's legal system ruled against Covid-19 vaccination for young people and children in a binding decision for observant Jews.	0	AFP FactCheck	MIDDLE EAST	15 November 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9RK34P-1		
67	Cold temperatures in Antarctica evidenced that global warming is exaggerated or non-existent. 	0	AFP FactCheck	MIDDLE EAST	22 October 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9Q68LD-1		
