id	pre_cutoff	date	label	region	source	original_language	statement	link
1	True	30 August 2021	1	ASIA-PACIFIC	China Daily	English	China has 56 ethnic groups. Besides the Han, who make up over 90 percent of China's population, there are 55 ethnic groups in the country, each with their own costumes, festivals and customs.	https://www.chinadaily.com.cn/a/202108/30/WS612c12b2a310efa1bd66bdf2_2.html
2	True	28 July 2021	1	ASIA-PACIFIC	China Daily	English	Weightlifter Shi Zhiyong of China won gold in men's 73kg category in Tokyo 2021.	http://www.chinadaily.com.cn/a/202107/28/WS61014f46a310efa1bd66513d_6.html
3	True	25 June 2021	1	ASIA-PACIFIC	China Daily	English	"On the evening of June 22, 2021, Shanghai held a light show with the theme of ""Always Follow the Party"" in the Bund and Lujiazui areas along the Huangpu River. Nearly 300 buildings were lit up."	https://www.chinadaily.com.cn/a/202106/25/WS60d5955ba310efa1bd65e018.html
4	True	20 May 2021	1	ASIA-PACIFIC	China Daily	English	China's health minister Ma Xiaowei said during a phone call with his US counterpart in May 2021 that China is willing to deepen cooperation with the United States in the field of healthcare and in fighting against the COVID-19 pandemic.	https://www.chinadaily.com.cn/a/202105/20/WS60a666c7a31024ad0bac05ee.html
5	True	15 April 2021	1	ASIA-PACIFIC	China Daily	English	A sandstorm hit Hohhot, Inner Mongolia on April 15, 2021.	https://www.chinadaily.com.cn/a/202104/15/WS60780160a31024ad0bab5d08.html
6	True	10 March 2021	1	ASIA-PACIFIC	China Daily	English	Xi attended closing meeting of CPPCC National Committee's annual session at the Great Hall of the People in Beijing, March 10, 2021.	https://www.chinadaily.com.cn/a/202103/10/WS60488ceca31024ad0baae46d_2.html
7	True	5 February 2021	1	ASIA-PACIFIC	China Daily	English	Gao Feng, a spokesman for the Ministry of Commerce, said at a regular news briefing in 2021 that China is researching matters related to it joining the CPTPP.	https://www.chinadaily.com.cn/a/202102/05/WS601c819aa31024ad0baa7595.html
8	True	3 January 2021	1	ASIA-PACIFIC	China Daily	English	"Chinese feature film ""A Little Red Flower""  secured the top place of the box office chart right after its debut on Dec. 31, generating a total of 657 million yuan in three days"	https://www.chinadaily.com.cn/a/202101/03/WS5ff158e3a31024ad0baa0187.html
9	True	29 December 2020	1	ASIA-PACIFIC	China Daily	English	Since bringing its coronavirus outbreak under control, China has been sending medical supplies and equipment to other parts of the world to help fight COVID-19.	https://www.chinadaily.com.cn/a/202012/29/WS5fea8525a31024ad0ba9f265_2.html
10	True	24 November 2020	1	ASIA-PACIFIC	China Daily	English	President Xi Jinping said in a congratulatory letter to the World Internet Conference - Internet Development Forum that China is ready to work with other countries to create a new paradigm for cybersecurity as well as a community with a shared future in cyberspace.	https://www.chinadaily.com.cn/a/202011/24/WS5fbc45bda31024ad0ba95f03.html
